2021-11-10T23:56:29.7411339+05:30  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2021-11-10T23:56:29.7537856+05:30  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2021-11-10T23:56:29.7544258+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-11-10T23:56:29.7544920+05:30  [INF] Hosting environment: "Development" (c3307c92)
2021-11-10T23:56:29.7545281+05:30  [INF] Content root path: "C:\Users\NagaRam\source\repos\VedicHoroo" (b5d60022)
2021-11-10T23:56:32.4770887+05:30 0HMD4EUEPA1LM:00000001 [INF] Request starting HTTP/2 GET https://localhost:5001/weatherforecast - - (ca22a1cb)
2021-11-10T23:56:33.5528366+05:30 0HMD4EUEPA1LM:00000001 [INF] Request finished HTTP/2 GET https://localhost:5001/weatherforecast - - - 404 0 - 893.5450ms (791a596a)
2021-11-10T23:56:41.5329021+05:30 0HMD4EUEPA1LO:00000002 [INF] Request starting HTTP/1.1 POST https://localhost:5001/api/GeneratePDFDocEx application/json 403 (ca22a1cb)
2021-11-10T23:56:41.5605346+05:30 0HMD4EUEPA1LO:00000002 [INF] Executing endpoint '"MyyPub.VedicHorro.VedicHorooController.GeneratePDFDocEx (MyyPub.VedicHoroo)"' (500cc934)
2021-11-10T23:56:41.8772722+05:30 0HMD4EUEPA1LO:00000002 [INF] Route matched with "{action = \"GeneratePDFDocEx\", controller = \"VedicHoroo\"}". Executing controller action with signature "System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] GeneratePDFDocEx(MyyPub.Models.ReportParams)" on controller "MyyPub.VedicHorro.VedicHorooController" ("MyyPub.VedicHoroo"). (122b2fdf)
2021-11-10T23:56:44.3642327+05:30 0HMD4EUEPA1LO:00000002 [INF] GeneratePDFDocEx (20d7344b)
2021-11-10T23:56:54.7605138+05:30 0HMD4EUEPA1LO:00000002 [INF] Astakvarga (834d2431)
2021-11-10T23:56:55.2111712+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2112757+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2119413+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2125075+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2128189+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2130490+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2351697+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2369161+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2369773+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2370930+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2411844+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2473644+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2473613+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.2487404+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
