2022-01-25T03:14:33.9192325+05:30  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2022-01-25T03:14:33.9255996+05:30  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2022-01-25T03:14:33.9259931+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2022-01-25T03:14:33.9260502+05:30  [INF] Hosting environment: "Development" (c3307c92)
2022-01-25T03:14:33.9260746+05:30  [INF] Content root path: "C:\Users\NagaRam\source\repos\VEDICHOROO" (b5d60022)
2022-01-25T03:18:14.8471617+05:30  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2022-01-25T03:18:14.8584814+05:30  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2022-01-25T03:18:14.8589560+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2022-01-25T03:18:14.8590218+05:30  [INF] Hosting environment: "Development" (c3307c92)
2022-01-25T03:18:14.8590571+05:30  [INF] Content root path: "C:\Users\NagaRam\source\repos\VEDICHOROO" (b5d60022)
2022-01-25T03:18:18.0268772+05:30 0HMEVGCSPUK9Q:00000001 [INF] Request starting HTTP/2 GET https://localhost:5001/weatherforecast - - (ca22a1cb)
2022-01-25T03:18:18.2635563+05:30 0HMEVGCSPUK9Q:00000001 [INF] Request finished HTTP/2 GET https://localhost:5001/weatherforecast - - - 404 0 - 324.4784ms (791a596a)
2022-01-25T03:18:59.9061260+05:30 0HMEVGCSPUK9R:00000002 [INF] Request starting HTTP/1.1 GET https://localhost:5001/api/GetAllReports - - (ca22a1cb)
2022-01-25T03:18:59.9129275+05:30 0HMEVGCSPUK9R:00000002 [INF] Executing endpoint '"MyyPub.VedicHorro.VedicHorooController.GetAllReports (MyyPub.VedicHoroo)"' (500cc934)
2022-01-25T03:19:00.2414077+05:30 0HMEVGCSPUK9R:00000002 [INF] Route matched with "{action = \"GetAllReports\", controller = \"VedicHoroo\"}". Executing controller action with signature "System.Threading.Tasks.Task`1[System.Collections.Generic.List`1[MyyPub.Models.Report]] GetAllReports()" on controller "MyyPub.VedicHorro.VedicHorooController" ("MyyPub.VedicHoroo"). (122b2fdf)
2022-01-25T03:19:02.1475293+05:30 0HMEVGCSPUK9R:00000002 [INF] GetAllReports (c8ccd1eb)
2022-01-25T03:19:02.9784340+05:30 0HMEVGCSPUK9R:00000002 [INF] Executing "ObjectResult", writing value of type '"System.Collections.Generic.List`1[[MyyPub.Models.Report, MyyPub.Models, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]"'. (605b4265)
2022-01-25T03:19:03.0874611+05:30 0HMEVGCSPUK9R:00000002 [INF] Executed action "MyyPub.VedicHorro.VedicHorooController.GetAllReports (MyyPub.VedicHoroo)" in 2831.8075ms (afa2e885)
2022-01-25T03:19:03.0883268+05:30 0HMEVGCSPUK9R:00000002 [INF] Executed endpoint '"MyyPub.VedicHorro.VedicHorooController.GetAllReports (MyyPub.VedicHoroo)"' (99874f2b)
2022-01-25T03:19:03.0912602+05:30 0HMEVGCSPUK9R:00000002 [INF] Request finished HTTP/1.1 GET https://localhost:5001/api/GetAllReports - - - 200 - application/json;+charset=utf-8 3185.1506ms (791a596a)
2022-01-25T03:19:03.7735402+05:30 0HMEVGCSPUK9R:00000003 [INF] Request starting HTTP/1.1 POST https://localhost:5001/api/GeneratePdfDocEx application/json;+charset=utf-8 329 (ca22a1cb)
2022-01-25T03:19:03.7745038+05:30 0HMEVGCSPUK9R:00000003 [INF] Executing endpoint '"MyyPub.VedicHorro.VedicHorooController.GeneratePDFDocEx (MyyPub.VedicHoroo)"' (500cc934)
2022-01-25T03:19:03.8048906+05:30 0HMEVGCSPUK9R:00000003 [INF] Route matched with "{action = \"GeneratePDFDocEx\", controller = \"VedicHoroo\"}". Executing controller action with signature "System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] GeneratePDFDocEx(MyyPub.Models.ReportParams)" on controller "MyyPub.VedicHorro.VedicHorooController" ("MyyPub.VedicHoroo"). (122b2fdf)
2022-01-25T03:19:03.8922710+05:30 0HMEVGCSPUK9R:00000003 [INF] GeneratePDFDocEx (20d7344b)
2022-01-25T03:19:15.7903352+05:30 0HMEVGCSPUK9R:00000003 [INF] Astakvarga (834d2431)
2022-01-25T03:19:16.0742194+05:30 0HMEVGCSPUK9R:00000003 [INF] CalcDivChart (f67591a3)
2022-01-25T03:19:16.0742130+05:30 0HMEVGCSPUK9R:00000003 [INF] CalcDivChart (f67591a3)
