2022-01-29T17:55:10.7602731+05:30  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2022-01-29T17:55:10.7872946+05:30  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2022-01-29T17:55:10.7877197+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2022-01-29T17:55:10.7877686+05:30  [INF] Hosting environment: "Development" (c3307c92)
2022-01-29T17:55:10.7878025+05:30  [INF] Content root path: "C:\Users\NagaRam\source\repos\VedicHoroo" (b5d60022)
2022-01-29T17:55:32.5306765+05:30 0HMF349IDFBGU:00000001 [INF] Request starting HTTP/2 GET https://localhost:5001/weatherforecast - - (ca22a1cb)
2022-01-29T17:55:33.7750090+05:30 0HMF349IDFBGU:00000001 [INF] Request finished HTTP/2 GET https://localhost:5001/weatherforecast - - - 404 0 - 1179.7139ms (791a596a)
2022-01-29T17:55:59.6011428+05:30 0HMF349IDFBH0:00000002 [INF] Request starting HTTP/1.1 GET https://localhost:5001/api/GetAllReports - - (ca22a1cb)
2022-01-29T17:55:59.7082542+05:30 0HMF349IDFBH0:00000002 [INF] Executing endpoint '"MyyPub.VedicHorro.VedicHorooController.GetAllReports (MyyPub.VedicHoroo)"' (500cc934)
2022-01-29T17:55:59.9571888+05:30 0HMF349IDFBH0:00000002 [INF] Route matched with "{action = \"GetAllReports\", controller = \"VedicHoroo\"}". Executing controller action with signature "System.Threading.Tasks.Task`1[System.Collections.Generic.List`1[MyyPub.Models.Report]] GetAllReports()" on controller "MyyPub.VedicHorro.VedicHorooController" ("MyyPub.VedicHoroo"). (122b2fdf)
2022-01-29T17:56:02.8854486+05:30 0HMF349IDFBH0:00000002 [INF] GetAllReports (c8ccd1eb)
2022-01-29T17:56:04.4322046+05:30 0HMF349IDFBH0:00000002 [INF] Executing "ObjectResult", writing value of type '"System.Collections.Generic.List`1[[MyyPub.Models.Report, MyyPub.Models, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]"'. (605b4265)
2022-01-29T17:56:04.5907354+05:30 0HMF349IDFBH0:00000002 [INF] Executed action "MyyPub.VedicHorro.VedicHorooController.GetAllReports (MyyPub.VedicHoroo)" in 4617.2077ms (afa2e885)
2022-01-29T17:56:04.5919675+05:30 0HMF349IDFBH0:00000002 [INF] Executed endpoint '"MyyPub.VedicHorro.VedicHorooController.GetAllReports (MyyPub.VedicHoroo)"' (99874f2b)
2022-01-29T17:56:04.5955005+05:30 0HMF349IDFBH0:00000002 [INF] Request finished HTTP/1.1 GET https://localhost:5001/api/GetAllReports - - - 200 - application/json;+charset=utf-8 4994.3452ms (791a596a)
2022-01-29T17:56:05.9577807+05:30 0HMF349IDFBH0:00000003 [INF] Request starting HTTP/1.1 POST https://localhost:5001/api/GeneratePdfDocEx application/json;+charset=utf-8 334 (ca22a1cb)
2022-01-29T17:56:05.9588653+05:30 0HMF349IDFBH0:00000003 [INF] Executing endpoint '"MyyPub.VedicHorro.VedicHorooController.GeneratePDFDocEx (MyyPub.VedicHoroo)"' (500cc934)
2022-01-29T17:56:06.0081178+05:30 0HMF349IDFBH0:00000003 [INF] Route matched with "{action = \"GeneratePDFDocEx\", controller = \"VedicHoroo\"}". Executing controller action with signature "System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] GeneratePDFDocEx(MyyPub.Models.ReportParams)" on controller "MyyPub.VedicHorro.VedicHorooController" ("MyyPub.VedicHoroo"). (122b2fdf)
2022-01-29T17:56:06.1106094+05:30 0HMF349IDFBH0:00000003 [INF] GeneratePDFDocEx (20d7344b)
2022-01-29T17:56:33.1737228+05:30 0HMF349IDFBH0:00000003 [INF] Astakvarga (834d2431)
2022-01-29T17:56:33.7729009+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.7729009+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.7729009+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.7745300+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.7779819+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.7801179+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.7825440+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.7831049+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.7872828+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
