2022-02-09T00:02:58.0128844+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcVim (46cbac61)
2022-02-09T00:18:37.8595735+05:30 0HMFB5VPD0G0V:00000003 [INF] GetDashTransEx (254b7e02)
2022-02-09T00:18:38.6283522+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.6432548+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.6614783+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.6776831+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.6919540+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.7058705+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.7209467+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.7359976+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.7534334+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.7693852+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.8062196+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.8298135+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.8597356+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:38.8919642+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:39.0341082+05:30 0HMFB5VPD0G0V:00000003 [INF] GetYogas-17|4|2010 (dd3c67e6)
2022-02-09T00:18:39.1066254+05:30 0HMFB5VPD0G0V:00000003 [INF] GetDoshasEx (ca7ee4af)
2022-02-09T00:18:39.1561221+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.3435027+05:30 0HMFB5VPD0G0V:00000003 [INF] AnalyzeD9Ex (bcb81f65)
2022-02-09T00:18:39.3551558+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:39.3559084+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.3597502+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.3773243+05:30 0HMFB5VPD0G0V:00000003 [INF] AnalyzeDasamsaEx (57840f70)
2022-02-09T00:18:39.3857523+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:39.3863502+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.3872793+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.3877950+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4119100+05:30 0HMFB5VPD0G0V:00000003 [INF] AnalyzeMoneyEx (264df1d5)
2022-02-09T00:18:39.4232615+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4238128+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4246364+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4252277+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4257533+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4264732+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4531326+05:30 0HMFB5VPD0G0V:00000003 [INF] AnalyzeD4Ex (092d93c1)
2022-02-09T00:18:39.4636052+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:39.4646341+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4650403+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4654521+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4679423+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4809038+05:30 0HMFB5VPD0G0V:00000003 [INF] AnalyzeD3Ex (be2ced32)
2022-02-09T00:18:39.4820427+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:39.4822519+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.4987033+05:30 0HMFB5VPD0G0V:00000003 [INF] AnalyzeD7Ex (c0639c54)
2022-02-09T00:18:39.5001389+05:30 0HMFB5VPD0G0V:00000003 [INF] CalcDivChart (f67591a3)
2022-02-09T00:18:39.5007106+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.5013672+05:30 0HMFB5VPD0G0V:00000003 [INF] GetAspects (ed37f986)
2022-02-09T00:18:39.5421471+05:30 0HMFB5VPD0G0V:00000003 [INF] GetTransPredsEx2 (d8950ea7)
2022-02-09T00:18:49.0419539+05:30 0HMFB5VPD0G0V:00000003 [INF] Executing "FileStreamResult", sending file with download name '"5026e040-377c-4467-afbe-77cab53d778e.pdf"' ... (3ade02d2)
2022-02-09T00:18:49.2581025+05:30 0HMFB5VPD0G0V:00000003 [INF] Connection id ""0HMFB5VPD0G0V"", Request id ""0HMFB5VPD0G0V:00000003"": the application aborted the connection. (9f49aef1)
2022-02-09T00:18:49.2584517+05:30 0HMFB5VPD0G0V:00000003 [INF] Executed action "MyyPub.VedicHorro.VedicHorooController.GeneratePDFDocEx (MyyPub.VedicHoroo)" in 1561161.1907ms (afa2e885)
2022-02-09T00:18:49.2585261+05:30 0HMFB5VPD0G0V:00000003 [INF] Executed endpoint '"MyyPub.VedicHorro.VedicHorooController.GeneratePDFDocEx (MyyPub.VedicHoroo)"' (99874f2b)
2022-02-09T00:18:49.2589142+05:30 0HMFB5VPD0G0V:00000003 [INF] Request finished HTTP/1.1 POST https://localhost:5001/api/GeneratePdfDocEx application/json;+charset=utf-8 320 - 0 270848 application/pdf 1561188.9497ms (791a596a)
